Y,x1,x2,x3,x4,x5,x6,x7
1,1,4,3,1,1,1,70
0,1,2,3,6,5,5,70
1,1,3,2,2,1,3,90
1,1,2,2,1,1,1,90
1,1,1,3,1,2,2,70
1,1,1,3,1,1,2,70
1,1,2,3,2,3,2,70
0,1,1,4,6,2,4,120
1,1,3,2,3,2,1,90
1,1,4,1,3,1,2,100
1,1,4,2,3,1,1,90
1,2,4,2,2,1,1,90
1,2,4,2,1,1,1,90
0,2,1,1,3,1,5,100
1,2,2,3,2,1,3,70
1,2,4,3,4,2,1,70
1,2,3,3,3,2,1,70
1,2,4,1,1,1,1,100
0,2,3,2,1,4,1,90
1,2,1,4,3,1,1,120
1,2,2,3,2,1,1,70
1,2,1,4,3,1,1,120
0,2,3,3,3,2,5,70
1,2,1,3,3,1,2,70
1,2,4,3,1,1,2,70
1,2,4,3,3,2,2,70
0,2,3,2,5,2,1,90
1,2,2,1,2,1,1,100
1,2,4,2,1,1,2,90
1,2,4,2,2,2,2,90
1,2,4,3,3,2,1,70
1,2,2,3,1,4,1,70
1,2,4,3,2,1,1,70
1,2,2,1,4,1,1,100
1,3,4,3,2,1,1,70
1,3,4,3,1,2,4,70
0,3,2,2,1,1,2,90
1,3,3,3,2,1,1,70
1,3,3,3,1,3,3,70
1,3,4,4,1,1,2,120
1,3,4,3,3,2,1,70
1,3,4,1,2,1,1,100
0,3,1,4,1,2,5,120
1,3,4,3,4,1,4,70
1,3,4,3,4,1,3,70
1,3,1,2,4,2,4,90
1,3,1,1,2,1,1,100
1,3,3,2,2,1,1,90
1,3,4,1,2,2,1,100
0,3,1,2,2,4,4,90
1,3,4,3,3,3,1,70
1,3,4,3,2,1,1,70
1,3,4,1,2,4,1,100
1,3,4,2,1,1,1,90
1,3,2,3,1,2,1,70
1,3,4,3,1,1,1,70
0,3,3,1,1,4,2,100
1,3,2,2,3,1,1,90
1,3,4,3,3,2,1,70
1,3,3,3,3,2,1,70
1,3,3,3,2,1,1,70
1,3,2,2,1,1,1,90
1,3,4,2,1,1,1,90
0,3,3,1,6,4,4,100
1,3,3,3,2,1,1,70
1,3,4,1,2,1,1,100
1,3,2,4,3,1,1,120
1,3,3,3,3,2,1,70
1,4,3,1,4,2,1,100
0,4,4,1,4,2,2,100
1,4,2,3,4,3,1,70
1,4,3,3,1,1,4,70
1,4,4,3,1,1,4,70
1,4,4,1,3,2,1,100
1,4,1,3,2,1,1,70
0,4,1,1,3,3,2,100
1,4,4,2,1,1,1,90
1,4,4,2,4,2,3,90
1,4,2,3,2,1,4,70
1,4,4,3,4,1,1,70
0,4,4,2,4,2,2,90
1,4,2,3,2,2,2,70
1,4,4,3,3,4,2,70
1,4,2,4,4,1,1,120
1,4,3,1,4,2,1,100
1,4,4,4,2,2,1,120
0,4,3,1,4,2,2,100
1,4,3,2,1,1,2,90
1,4,3,2,2,1,1,90
1,4,4,3,1,1,1,70
1,4,4,3,1,1,1,70
1,4,2,3,1,1,2,70
0,4,3,3,1,2,3,70
1,4,3,3,4,1,2,70
1,4,1,2,1,1,1,90
1,4,1,1,4,1,1,100
1,4,1,2,4,2,2,90
1,4,2,1,4,2,1,100
0,4,1,2,3,1,4,90
1,4,3,3,3,3,1,70
1,4,4,2,4,1,2,90
1,4,1,2,2,1,1,90
1,4,3,3,3,2,3,70
0,4,3,1,6,2,2,100
1,4,3,2,1,1,1,90
1,4,3,3,2,1,3,70
1,4,2,4,3,1,3,120
1,1,4,3,2,1,8,70
1,1,4,3,2,1,1,70
0,1,1,3,4,4,5,70
1,1,3,2,4,4,1,90
1,1,1,3,4,2,6,70
1,1,1,2,2,3,8,90
0,1,1,3,6,2,3,70
1,1,1,2,4,1,5,90
1,1,4,3,4,1,1,70
0,1,3,1,4,3,4,100
1,1,3,1,2,1,9,100
1,1,4,3,1,2,3,70
1,1,1,4,3,1,3,120
1,1,2,3,3,1,1,70
1,1,4,3,4,3,1,70
0,1,1,4,5,1,3,120
1,1,3,1,3,2,1,100
1,1,2,3,3,1,1,70
1,1,3,2,3,1,1,90
1,1,4,3,3,2,1,70
0,1,4,2,5,1,3,90
1,1,4,2,1,2,1,90
1,1,2,4,1,1,4,120
1,1,3,3,3,1,4,70
1,2,4,3,2,1,1,70
1,2,1,2,1,1,2,90
0,2,4,4,6,1,4,120
1,2,2,3,4,2,1,70
1,2,4,2,4,1,1,90
1,2,2,3,4,1,1,70
0,2,4,3,3,4,1,70
1,2,4,3,3,1,2,70
1,2,4,3,1,2,1,70
1,2,4,1,2,1,1,100
1,2,2,3,3,1,2,70
0,2,1,2,5,2,2,90
1,2,3,3,3,1,1,70
1,2,4,3,1,1,1,70
1,2,2,4,3,1,1,120
1,2,1,3,3,3,2,70
1,2,1,1,2,1,2,100
1,2,4,3,1,2,1,70
0,2,4,3,6,2,4,70
1,2,1,2,3,2,1,90
1,2,4,2,4,1,1,90
1,2,1,2,1,1,1,90
1,2,3,3,3,1,1,70
1,2,4,1,2,4,1,100
0,2,3,1,2,3,2,100
1,2,1,2,2,1,1,90
1,2,2,2,4,1,1,90
1,2,1,3,2,2,7,70
0,2,4,2,5,3,3,90
1,3,3,3,1,1,4,70
1,3,4,4,2,1,11,120
1,3,4,3,2,2,1,70
1,3,3,3,4,1,4,70
0,3,1,2,1,3,5,90
1,3,4,1,2,1,4,100
1,3,3,1,2,1,1,100
1,3,4,3,1,2,1,70
1,3,4,2,2,1,1,90
1,3,1,3,3,1,2,70
1,3,4,3,3,1,1,70
0,3,3,3,2,2,5,70
1,3,2,3,2,2,1,70
1,3,4,3,2,3,1,70
1,3,4,3,4,1,1,70
0,3,4,2,4,4,1,90
1,3,4,2,1,1,1,90
1,3,4,2,3,2,1,90
1,3,4,4,3,1,1,120
1,3,1,3,3,2,1,70
1,3,2,3,1,1,2,70
0,3,1,1,6,2,1,100
1,3,1,1,1,3,1,100
1,3,3,2,3,1,1,90
1,3,3,2,2,1,1,90
0,3,3,1,5,4,5,100
1,3,4,1,1,2,1,100
1,3,1,2,2,1,1,90
1,4,3,2,4,2,3,90
1,4,4,3,3,1,3,70
1,4,2,3,3,1,1,70
0,4,1,3,5,2,4,70
1,4,3,3,2,1,1,70
1,4,2,3,3,2,1,70
1,4,4,3,1,1,2,70
1,4,4,4,1,1,1,120
1,4,4,3,2,1,1,70
0,4,4,2,3,5,2,90
1,4,4,3,4,2,1,70
1,4,1,1,2,1,1,100
1,4,1,3,2,4,1,70
1,4,3,2,1,2,1,90
0,4,1,1,5,1,4,100
1,4,4,2,2,1,1,90
1,4,3,2,2,1,1,90
1,4,4,3,2,1,1,70
1,4,3,3,1,2,1,70
0,4,3,3,2,5,1,70
1,4,3,3,2,1,1,70
1,4,2,1,4,1,1,100
1,4,1,2,2,2,1,90
1,4,1,2,2,1,1,90
0,4,1,4,5,3,1,120
1,4,4,2,3,2,1,90
1,4,1,3,4,2,1,70
1,4,1,2,3,1,1,90
0,4,4,4,5,1,4,120
1,4,1,3,1,3,1,70
1,4,4,3,4,3,1,70
1,4,4,4,3,1,1,120
0,4,4,2,3,4,4,90
1,4,4,1,2,1,1,100
1,4,2,1,1,1,1,100
1,4,4,1,2,2,1,100
1,4,1,3,3,3,1,70
1,4,1,1,2,1,1,100
0,4,1,2,5,3,2,90
1,1,3,2,2,1,1,90
1,1,1,3,4,1,1,70
0,1,4,4,5,1,4,120
1,1,2,2,3,1,1,90
1,1,2,2,3,2,1,90
1,1,4,2,3,1,1,90
1,1,3,3,1,1,1,70
1,1,4,2,1,1,1,90
0,1,1,3,1,4,4,70
1,1,1,3,2,2,2,70
1,1,4,3,3,1,1,70
1,1,2,2,4,2,1,90
1,1,3,2,2,1,1,90
1,1,3,2,3,1,1,90
0,1,4,1,6,3,1,100
1,1,1,3,3,3,1,70
1,1,4,1,2,1,1,100
1,1,4,2,2,3,1,90
1,1,2,2,2,1,1,90
0,1,1,3,3,3,2,70
1,1,4,3,4,2,1,70
0,1,2,2,5,2,2,90
1,1,4,4,2,1,2,120
1,1,4,2,3,1,1,90
1,1,4,3,3,2,2,70
1,1,1,1,2,2,1,100
0,1,2,1,2,3,5,100
1,2,1,2,2,1,1,90
1,2,3,3,2,1,1,70
1,2,3,3,1,1,2,70
1,2,4,4,2,1,4,120
1,2,4,1,3,1,1,100
1,2,2,3,1,1,1,70
1,2,2,2,1,1,1,90
0,2,2,3,2,2,5,70
1,2,4,3,4,2,1,70
1,2,2,3,4,2,2,70
1,2,4,3,4,4,2,70
1,2,4,2,4,2,1,90
0,2,1,1,2,1,2,100
1,2,2,2,3,1,1,90
1,2,4,1,2,1,1,100
1,2,4,3,1,1,1,70
1,2,1,4,3,1,1,120
0,2,4,3,1,2,5,70
1,2,4,1,3,1,1,100
1,2,2,1,1,1,1,100
1,2,3,3,1,3,1,70
1,2,4,3,3,2,1,70
1,2,3,3,1,2,1,70
1,2,3,2,2,1,1,90
0,2,1,1,1,1,4,100
1,2,4,1,4,2,1,100
1,2,4,1,4,2,1,100
1,2,2,3,1,1,2,70
1,2,3,3,1,1,3,70
1,2,3,3,4,3,1,70
1,3,1,2,3,1,1,90
0,3,3,1,5,1,1,100
1,3,4,4,3,2,1,120
1,3,3,2,2,1,1,90
1,3,3,3,2,1,3,70
1,3,4,3,3,1,1,70
1,3,4,1,1,2,1,100
0,3,1,2,4,3,1,90
1,3,1,3,4,1,1,70
1,3,1,3,4,1,1,70
0,3,1,2,4,3,3,90
1,3,4,2,4,1,1,90
1,3,4,3,1,1,1,70
1,3,4,1,1,4,1,100
0,3,4,1,3,3,2,100
1,3,4,2,3,2,1,90
1,3,3,3,4,1,1,70
1,3,4,3,1,1,2,70
0,3,2,4,1,2,5,120
1,3,4,4,3,2,1,120
1,3,2,1,4,1,1,100
1,3,4,2,4,1,2,90
1,3,1,2,4,3,1,90
1,3,2,2,4,1,1,90
1,3,2,3,3,2,3,70
0,3,1,2,6,3,1,90
1,3,3,3,3,1,1,70
1,3,1,1,3,1,4,100
1,3,4,3,4,1,1,70
1,3,4,3,1,1,4,70
0,3,1,2,4,4,2,90
1,3,1,3,3,2,2,70
1,4,4,3,1,2,1,70
1,4,4,3,3,1,1,70
1,4,1,3,4,3,1,70
1,4,1,1,1,1,1,100
1,4,4,4,1,1,1,120
1,4,2,2,2,1,1,90
0,4,4,2,6,2,2,90
1,4,3,1,2,2,7,100
1,4,2,2,2,1,1,90
1,4,2,4,3,1,4,120
1,4,3,3,1,3,4,70
1,4,4,3,1,1,4,70
0,4,4,2,4,1,1,90
1,4,1,3,3,1,7,70
1,4,1,3,1,2,1,70
1,4,4,3,4,1,1,70
0,4,4,2,1,4,2,90
1,4,3,3,4,1,1,70
1,4,4,3,2,1,1,70
1,4,4,2,3,1,1,90
0,4,2,4,3,4,4,120
1,4,2,2,1,1,1,90
1,4,3,3,4,4,2,70
1,4,2,3,4,2,1,70
0,4,3,2,6,4,2,90
1,4,4,1,1,1,1,100
1,4,1,3,2,3,1,70
1,4,2,3,4,2,1,70
1,4,3,2,1,1,1,90
0,4,4,3,4,5,5,70
1,4,3,3,3,1,1,70
1,4,1,2,3,2,1,90
1,1,4,3,4,1,15,70
1,1,2,3,3,1,1,70
1,1,4,3,1,1,15,70
0,1,1,3,3,5,1,70
1,1,3,1,1,1,1,100
1,1,2,1,1,2,1,100
1,1,3,1,3,1,1,100
1,1,4,1,4,3,1,100
1,1,2,2,1,2,1,90
0,1,1,1,1,3,4,100
1,1,3,1,3,1,1,100
1,1,3,3,4,2,1,70
1,1,3,3,2,1,1,70
1,1,3,1,3,1,1,100
1,1,4,1,3,1,1,100
0,1,4,4,2,2,1,120
1,1,1,1,4,1,1,100
1,1,1,1,1,1,1,100
0,1,4,3,6,3,3,70
1,1,4,2,2,1,1,90
1,1,3,1,4,2,1,100
1,1,2,1,4,4,1,100
0,1,1,2,2,3,3,90
1,1,1,3,3,1,1,70
1,1,4,1,1,1,1,100
1,1,3,3,2,2,1,70
1,1,3,1,4,1,1,100
1,1,4,3,4,3,1,70
1,1,3,3,3,1,1,70
1,1,1,1,2,1,1,100
0,1,2,3,2,4,2,70
1,1,1,3,2,1,1,70
1,1,3,1,3,1,1,100
1,1,1,2,2,2,1,90
1,1,3,1,1,3,1,100
1,1,3,1,2,1,1,100
0,1,1,3,4,5,3,70
1,1,1,1,2,1,1,100
1,1,2,2,4,1,1,90
1,1,4,3,3,1,7,70
0,1,3,2,6,2,3,90
1,1,4,3,2,1,6,70
1,1,4,2,1,1,13,90
1,1,1,3,2,3,6,70
1,1,1,1,4,2,5,100
1,1,1,3,3,2,4,70
0,1,3,1,2,1,2,100
1,1,4,2,4,1,1,90
1,1,3,3,1,1,5,70
1,1,2,3,3,1,1,70
1,1,2,3,4,1,1,70
1,1,4,3,2,2,1,70
0,1,1,4,3,3,5,120
1,1,4,1,2,2,2,100
1,1,4,2,4,1,3,90
1,1,4,3,1,4,5,70
1,1,1,2,4,2,1,90
0,1,2,2,5,3,2,90
1,1,4,3,2,1,1,70
1,1,4,3,1,3,1,70
1,1,3,3,1,1,2,70
1,1,2,3,4,2,1,70
1,1,1,3,3,1,2,70
1,2,3,3,4,3,1,70
0,2,4,2,5,5,3,90
1,2,3,1,4,2,1,100
1,2,4,3,3,1,1,70
1,2,4,3,1,1,1,70
0,2,4,2,4,2,5,90
1,2,4,2,2,1,1,90
1,2,1,3,2,1,1,70
1,2,3,3,2,1,4,70
1,2,1,2,3,1,2,90
0,2,4,2,5,4,4,90
1,2,1,3,3,2,2,70
1,2,4,3,2,2,2,70
1,2,3,2,4,1,1,90
0,2,3,4,5,2,3,120
1,2,3,3,1,1,6,70
1,2,3,3,1,1,5,70
1,2,4,1,2,1,1,100
1,2,1,3,1,2,3,70
0,2,4,3,5,2,3,70
1,2,2,3,2,1,1,70
1,2,4,3,1,1,1,70
1,2,4,3,2,1,2,70
0,2,4,2,4,4,4,90
1,2,3,3,3,2,1,70
1,2,4,2,4,3,1,90
1,2,4,3,4,4,1,70
1,2,3,3,1,2,1,70
0,2,3,1,4,3,3,100
1,3,4,2,4,2,7,90
1,3,1,3,2,1,1,70
1,3,1,3,1,1,1,70
1,3,3,1,3,1,1,100
1,3,3,3,3,1,3,70
1,3,1,3,2,1,7,70
0,3,1,2,5,3,5,90
1,3,2,1,3,3,1,100
1,3,2,2,1,2,1,90
1,3,4,3,1,1,1,70
1,3,1,3,2,2,1,70
0,3,3,4,4,2,3,120
1,3,4,3,3,2,7,70
1,3,4,3,4,1,5,70
1,3,4,1,3,2,1,100
1,3,3,2,4,1,1,90
0,3,3,4,2,1,1,120
1,3,3,1,2,1,1,100
1,3,4,2,2,3,1,90
1,3,4,1,3,1,1,100
1,3,4,3,2,1,2,70
0,3,2,4,3,4,5,120
1,3,1,2,3,2,4,90
1,3,4,4,2,1,1,120
1,3,3,3,2,1,3,70
1,3,1,3,1,1,2,70
1,3,3,3,3,2,1,70
0,3,1,1,6,2,4,100
1,3,3,3,4,1,3,70
1,3,3,1,1,1,1,100
1,3,3,3,1,2,1,70
1,3,4,3,2,1,1,70
0,3,1,3,6,1,1,70
1,3,2,1,4,2,1,100
1,3,4,2,2,1,1,90
1,3,4,3,4,2,1,70
0,3,3,3,3,1,2,70
1,3,4,2,3,4,3,90
1,4,4,3,2,1,6,70
1,4,4,4,4,1,8,120
1,4,4,3,2,3,8,70
1,4,4,3,1,2,1,70
1,4,1,3,4,1,8,70
0,4,1,2,1,3,4,90
1,4,4,1,4,1,1,100
1,4,3,2,3,2,5,90
1,4,4,1,2,1,4,100
1,4,1,1,3,3,1,100
1,4,1,3,2,1,1,70
0,4,3,1,5,4,1,100
1,4,3,3,1,2,2,70
1,4,2,3,2,2,3,70
1,4,2,1,4,2,3,100
0,4,4,1,3,4,5,100
1,4,4,3,2,1,4,70
1,4,3,3,4,1,1,70
1,4,3,3,1,1,1,70
1,4,3,2,1,1,1,90
0,4,4,3,6,2,2,70
1,4,4,3,1,1,1,70
1,4,3,1,3,2,1,100
1,4,3,1,4,1,1,100
1,4,4,3,4,2,1,70
1,4,1,2,2,3,1,90
0,4,1,2,2,2,2,90
1,4,3,1,1,1,1,100
1,4,3,3,1,2,1,70
1,4,4,1,2,1,3,100
0,4,3,1,5,4,1,100
1,4,4,1,3,1,3,100
1,4,3,3,2,1,1,70
1,4,2,2,3,4,1,90
1,4,1,3,4,2,1,70
1,4,3,1,3,1,2,100
0,4,3,2,3,4,1,90
1,4,1,1,4,1,2,100
1,4,4,3,4,1,1,70
1,4,4,1,4,3,1,100
0,4,2,3,1,3,4,70
1,4,1,3,4,1,1,70
1,4,4,1,1,1,1,100
1,4,4,3,2,1,1,70
0,4,1,4,6,3,2,120
1,4,1,1,4,1,1,100
1,4,3,3,4,2,1,70
1,4,1,2,3,1,1,90
1,1,3,3,1,1,7,70
0,1,2,3,3,3,1,70
1,1,3,4,1,1,8,120
1,1,4,3,2,2,7,70
1,1,4,3,1,3,8,70
1,1,4,2,3,1,1,90
1,1,1,2,3,1,7,90
1,1,3,1,2,1,5,100
1,1,4,3,4,1,1,70
0,1,4,1,2,2,4,100
1,1,4,3,4,1,3,70
1,1,4,2,2,1,1,90
1,1,4,3,4,2,1,70
1,1,3,3,3,2,2,70
0,1,1,4,6,1,5,120
1,1,4,3,1,1,4,70
1,1,1,3,4,1,4,70
1,1,3,1,4,3,2,100
1,1,1,3,1,1,3,70
1,1,1,2,2,1,1,90
1,1,4,2,3,1,1,90
1,1,3,3,1,1,3,70
0,1,4,2,1,1,5,90
1,1,4,2,4,4,2,90
1,1,2,3,3,3,2,70
1,1,2,3,4,1,1,70
1,1,4,2,4,1,1,90
1,1,4,3,4,1,1,70
0,1,1,1,1,4,5,100
1,1,3,3,4,2,1,70
0,1,4,4,5,1,2,120
1,1,4,2,4,1,2,90
1,1,4,3,2,1,1,70
1,1,2,2,4,1,1,90
1,1,3,2,3,2,1,90
0,1,2,2,4,1,1,90
1,1,4,2,1,1,2,90
1,1,2,1,1,1,1,100
1,1,3,1,4,1,1,100
1,1,3,1,1,1,1,100
1,1,2,3,1,1,1,70
0,1,4,2,2,2,5,90
1,1,1,1,4,1,1,100
1,1,4,2,3,1,1,90
1,1,3,2,3,2,1,90
1,1,1,3,1,1,1,70
1,1,1,2,4,3,1,90
1,2,3,2,4,3,1,90
0,2,2,2,2,4,5,90
1,2,4,3,3,2,1,70
0,2,1,1,6,4,5,100
1,2,4,3,2,1,2,70
1,2,1,3,4,1,4,70
1,2,4,1,1,1,7,100
1,2,2,3,1,1,2,70
1,2,4,2,2,1,2,90
0,2,1,1,2,2,2,100
1,2,4,3,3,1,1,70
1,2,4,1,1,1,1,100
1,2,3,2,1,1,7,90
0,2,3,3,5,2,4,70
1,2,4,3,3,1,1,70
1,2,4,3,4,1,1,70
1,2,2,3,3,3,1,70
1,2,4,2,2,1,1,90
1,2,4,2,4,1,1,90
1,2,4,1,3,1,1,100
0,2,3,4,6,1,4,120
1,2,3,3,1,4,1,70
1,2,1,3,3,2,5,70
1,2,3,2,3,1,1,90
1,2,3,3,4,1,1,70
1,2,2,1,1,1,1,100
1,2,1,1,3,1,1,100
0,2,1,2,1,3,5,90
1,2,3,1,2,2,1,100
1,2,2,1,2,1,1,100
1,2,4,1,1,1,1,100
1,2,2,1,1,1,1,100
1,2,4,1,4,1,1,100
0,2,2,1,4,2,3,100
1,2,3,1,1,3,1,100
1,2,4,3,1,1,1,70
1,2,4,1,4,1,1,100
1,2,1,1,4,1,1,100
1,2,1,2,2,1,4,90
1,2,1,3,4,1,1,70
0,2,4,2,2,4,2,90
1,2,3,1,1,2,1,100
1,2,4,1,4,1,1,100
1,2,3,1,2,1,1,100
1,2,4,3,1,1,1,70
0,2,1,3,2,2,1,70
1,2,4,1,2,1,1,100
1,2,3,1,1,1,1,100
1,2,2,1,1,1,1,100
1,2,4,1,4,1,1,100
0,2,1,4,3,2,2,120
1,2,3,3,2,1,1,70
1,2,3,1,4,1,1,100
1,2,1,1,1,1,1,100
0,2,4,3,1,3,3,70
1,2,3,1,3,1,1,100
1,2,4,1,4,1,1,100
1,2,4,3,1,1,1,70
1,2,2,1,3,2,1,100
1,2,2,3,2,2,1,70
1,2,1,1,2,1,1,100
1,2,4,1,2,1,1,100
1,2,2,2,4,4,1,90
1,2,4,1,1,1,1,100
1,2,4,1,1,3,1,100
0,2,1,2,4,2,4,90
1,2,3,1,4,1,1,100
1,3,4,2,1,1,1,90
1,3,4,3,4,3,1,70
1,3,2,1,4,1,1,100
1,3,4,3,3,1,1,70
0,3,1,1,2,3,5,100
1,3,4,2,3,1,8,90
1,3,4,3,4,2,3,70
1,3,1,3,4,1,8,70
1,3,3,2,3,1,2,90
1,3,1,4,2,1,4,120
0,3,1,2,4,1,2,90
1,3,4,3,3,1,8,70
1,3,4,3,1,1,4,70
1,3,4,2,1,1,1,90
1,3,3,3,2,1,7,70
1,3,4,3,1,2,1,70
0,3,2,4,1,4,2,120
1,3,3,3,4,3,2,70
1,3,2,1,2,1,1,100
1,3,2,3,3,1,1,70
1,3,4,3,2,1,1,70
1,3,3,3,4,2,2,70
1,3,4,3,3,3,2,70
0,3,4,2,5,2,5,90
1,3,4,3,1,1,1,70
1,3,4,2,2,1,1,90
1,3,4,3,2,1,1,70
1,3,3,3,4,2,1,70
0,3,3,2,6,4,4,90
1,3,1,3,2,1,1,70
1,3,3,2,2,1,1,90
1,3,1,3,1,1,1,70
1,3,1,3,4,4,1,70
1,3,4,1,2,1,1,100
1,3,4,3,3,1,1,70
1,3,2,3,3,1,1,70
1,3,4,3,2,1,1,70
1,3,2,3,1,1,1,70
0,3,3,1,5,3,4,100
1,3,4,2,3,2,1,90
1,3,3,3,2,1,1,70
1,3,1,3,2,2,1,70
1,3,4,3,2,2,1,70
1,3,2,3,2,1,1,70
1,3,4,3,4,1,1,70
0,3,3,4,4,2,4,120
1,3,3,2,2,1,1,90
1,3,2,3,2,1,1,70
1,3,4,1,2,1,1,100
1,3,1,2,1,3,1,90
1,3,4,3,1,3,1,70
0,3,2,2,4,1,2,90
1,3,2,3,3,1,1,70
1,4,2,3,2,1,3,70
1,4,4,3,1,1,1,70
1,4,4,3,4,2,2,70
0,4,1,2,1,4,3,90
1,4,1,3,2,1,1,70
1,4,2,3,2,2,1,70
1,4,4,2,1,3,1,90
1,4,3,3,3,1,3,70
1,4,4,3,1,1,1,70
0,4,1,4,5,2,5,120
1,4,1,3,3,1,7,70
1,4,4,3,2,1,1,70
1,4,1,3,4,1,5,70
0,4,4,4,4,4,3,120
1,4,3,3,4,1,7,70
1,4,3,2,1,1,3,90
1,4,3,3,1,1,3,70
1,4,4,3,2,2,1,70
1,4,1,1,3,2,1,100
0,4,1,4,4,1,5,120
1,4,3,3,1,1,1,70
1,4,4,3,3,1,4,70
1,4,3,3,3,1,2,70
1,4,4,3,2,1,1,70
1,4,2,1,2,1,1,100
0,4,3,3,5,3,2,70
1,4,4,3,4,3,1,70
1,4,1,2,4,1,1,90
0,4,3,3,2,4,2,70
1,4,2,1,2,1,1,100
1,4,2,3,3,1,1,70
1,4,2,3,3,1,3,70
1,4,4,3,2,1,1,70
0,4,3,4,5,2,3,120
1,4,4,3,4,2,1,70
1,4,3,3,3,2,1,70
1,4,3,1,1,2,1,100
1,4,1,1,3,2,1,100
1,4,3,1,4,1,2,100
0,4,2,3,4,3,1,70
1,4,2,1,3,1,1,100
1,4,4,1,2,1,2,100
1,4,4,3,1,1,5,70
1,4,4,3,1,1,1,70
1,4,4,1,4,1,1,100
1,4,4,2,1,3,1,90
1,4,4,3,2,1,1,70
0,4,4,3,5,3,5,70
1,4,1,3,4,1,1,70
1,4,4,3,1,2,1,70
1,4,4,3,1,4,1,70
1,4,3,3,1,2,1,70
1,4,2,2,3,1,1,90
1,4,4,2,4,1,1,90
0,4,2,4,4,1,5,120
1,4,3,3,2,1,1,70
1,1,3,3,3,1,1,70
1,1,4,3,4,1,1,70
0,1,3,2,2,4,1,90
1,1,1,1,2,1,1,100
1,1,4,3,4,1,5,70
1,1,1,3,2,1,6,70
0,1,1,1,4,2,1,100
1,1,4,3,4,1,1,70
1,1,4,2,3,1,1,90
1,1,2,1,3,3,1,100
0,1,2,3,5,2,1,70
1,1,4,3,1,3,5,70
1,1,4,1,1,2,1,100
1,1,3,2,2,1,1,90
1,1,3,2,4,1,1,90
1,1,2,3,2,1,4,70
0,1,4,1,2,3,3,100
1,1,3,3,1,2,8,70
1,1,1,1,4,1,7,100
1,1,4,2,2,1,1,90
1,1,3,3,2,1,9,70
1,1,1,2,1,1,6,90
0,1,4,4,6,3,4,120
1,1,4,3,3,1,9,70
1,1,4,3,4,1,1,70
1,1,3,2,3,1,1,90
0,1,1,3,5,2,4,70
1,1,3,3,3,1,1,70
1,1,1,3,4,2,5,70
1,1,4,1,2,1,1,100
1,1,4,3,3,1,1,70
1,1,4,3,4,1,1,70
0,1,2,2,1,3,2,90
1,1,2,3,1,1,1,70
1,1,4,3,1,1,1,70
1,1,3,2,4,1,3,90
1,1,4,3,1,3,4,70
1,1,3,3,3,2,1,70
1,2,4,1,2,1,1,100
1,2,1,3,1,1,1,70
1,2,2,2,1,1,1,90
1,2,4,3,4,1,1,70
1,2,4,3,2,1,1,70
0,2,1,2,4,3,1,90
